,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.mp,loudness_direction_basis.p,loudness_direction_basis.f,loudness_direction_basis.loudness_incr,loudness_direction_basis.pp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.adagio,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
894,894,67.0,0.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,128.75,0.9003496766090393,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.9003496766090393,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,63.0,4.0
895,895,74.0,1.0,0.0,4,1.0,0.5,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,129.0,0.9020978808403015,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.9020978808403015,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,80.0,74.0,6.0
896,896,77.0,1.0,0.0,4,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,129.0,0.9020978808403015,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.9020978808403015,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,80.0,74.0,6.0
897,897,80.0,1.0,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.0,0.9020978808403015,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.9020978808403015,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,80.0,74.0,6.0
898,898,62.0,1.25,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.25,0.9038461446762085,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.9038461446762085,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,62.0,3.0
899,899,65.0,1.25,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.25,0.9038461446762085,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.9038461446762085,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,62.0,3.0
900,900,60.0,1.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.5,0.9055944085121155,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.9055944085121155,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,63.0,60.0,3.0
901,901,63.0,1.5,0.25,4,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.5,0.9055944085121155,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.9055944085121155,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,63.0,60.0,3.0
902,902,58.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.75,0.9073426723480225,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.9073426723480225,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,62.0,58.0,4.0
903,903,62.0,1.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129.75,0.9073426723480225,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.9073426723480225,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,62.0,58.0,4.0
