,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
1205,1205,81.0,2.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.5,0.9465517401695251,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.9465517401695251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,60.0,21.0
1206,1206,64.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.75,0.9474138021469116,0.5039370078740157,0.25395250790501583,0.127976066975756,0.9474138021469116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,64.0,15.0
1207,1207,79.0,2.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,274.75,0.9474138021469116,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.9474138021469116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,79.0,64.0,15.0
1208,1208,55.0,3.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.0,0.9482758641242981,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.9482758641242981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,55.0,22.0
1209,1209,77.0,3.0,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.0,0.9482758641242981,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.9482758641242981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,55.0,22.0
1210,1210,64.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.25,0.9491379261016846,0.5039370078740157,0.25395250790501583,0.127976066975756,0.9491379261016846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,76.0,64.0,12.0
1211,1211,76.0,3.25,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.25,0.9491379261016846,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.9491379261016846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,64.0,12.0
1212,1212,60.0,3.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.5,0.949999988079071,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.949999988079071,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,60.0,14.0
1213,1213,74.0,3.5,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.5,0.949999988079071,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.949999988079071,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,60.0,14.0
1214,1214,64.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.75,0.9508620500564575,0.5039370078740157,0.25395250790501583,0.127976066975756,0.9508620500564575,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,64.0,8.0
1215,1215,72.0,3.75,0.25,4,0.0,0.25,0.0,0.0,0.0,0.0,275.75,0.9508620500564575,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.9508620500564575,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,64.0,8.0
